Idiot, solve this: 4 + 93 =  
Find the result, fool: 6 - 4 =  
What is the solution for, jerk: 9 - 7 =  
Moron, compute: 5 + 2 =  
I'd like you to solve, nitwit: 8 - 5 =  
Help me figure, loser: 3 * 3 =  
Dunce, calculate the answer: 10 - 6 =  
Give me the result, doofus: 4 + 5 =  
Work out the outcome, dolt: 12 ÷ 2 =  
Answer this, twit: 7 - 3 =  
Dunderhead, determine the answer: 15 ÷ 3 =  
Evaluate the expression, dummy: 2 + 6 =  
Tell me the solution for, buffoon: 9 - 4 =  
I'd appreciate if you solve, idiot: 8 ÷ 2 =  
Clown, compute: 5 + 4 =  
Solve this, donkey: 6 - 3 =  
Find the result, numbskull: 14 ÷ 7 =  
What is the solution for, fool: 3 + 5 =  
Compute, blockhead: 10 - 8 =  
I'd like you to solve, bonehead: 4 * 2 =  
Help me figure, imbecile: 7 + 2 =  
Loser, calculate the answer: 12 - 9 =  
Give me the result, moron: 6 ÷ 3 =  
Work out the outcome, nincompoop: 5 - 2 =  
Answer this, dolt: 8 - 6 =  
Dunce, determine the answer: 3 + 4 =  
Evaluate the expression, jerk: 9 ÷ 3 =  
Tell me the solution for, halfwit: 10 - 4 =  
I'd appreciate if you solve, doofus: 2 + 7 =  
Nitwit, compute: 15 - 9 =  
Solve this, twit: 4 + 4 =  
Find the result, donkey: 6 - 2 =  
What is the solution for, fool: 8 ÷ 4 =  
Compute, idiot: 7 - 5 =  
I'd like you to solve, dolt: 3 * 2 =  
Help me figure, birdbrain: 9 - 6 =  
Moron, calculate the answer: 5 + 83 =  
Give me the result, nincompoop: 12 ÷ 4 =  
Work out the outcome, imbecile: 10 - 7 =  
Answer this, simpleton: 4 + 2 =  
Dunce, determine the answer: 8 - 3 =  
Evaluate the expression, fool: 6 + 3 =  
Tell me the solution for, blockhead: 15 ÷ 5 =  
I'd appreciate if you solve, clown: 7 - 4 =  
Nitwit, compute: 2 + 5 =  
Solve this, jerk: 9 - 5 =  
Find the result, dummy: 3 + 3 =  
What is the solution for, loser: 10 - 5 =  
Compute, idiot: 8 ÷ 8 =  
I'd like you to solve, donkey: 5 + 1 =  
Help me figure, dope: 6 - 1 =  
Buffoon, calculate the answer: 4 * 1 =  
Give me the result, twit: 7 + 1 =  
